cant_operadores,nombre_departamento
0,DAIREAUX
0,DOLORES
0,GENERAL VILLEGAS
0,HIPOLITO YRIGOYEN
0,MARCOS PAZ
0,PILA
0,SAN FERNANDO
0,POCHO
0,TOTORAL
0,LAVALLE
0,SALADAS
0,PALPALA
0,HUCAL
0,CONCEPCION
0,LACAR
0,CONESA
0,VALCHETA
0,MORENO
0,SAN MIGUEL
0,SAN LORENZO
0,25 DE MAYO
0,TELSEN
0,YAVI
0,GUATRACHE
0,TRENEL
0,CHAMICAL
0,FAMATINA
0,VINCHINA
0,INDEPENDENCIA
0,LOS LAGOS
0,NORQUINCO
0,ROSARIO DE LERMA
0,ULLUM
0,LIBERTADOR GENERAL SAN MARTIN
0,TRANCAS
0,MORON
0,SALTO
0,SAN ANDRES DE GILES
0,SAN JUSTO
0,ITATI
0,PASO DE LOS LIBRES
0,SAN COSME
0,SAN LUIS DEL PALMAR
0,NOGOYA
0,PILAGAS
0,PIRANE
0,CHALILEO
0,ROSARIO VERA PENALOZA
0,CAINGUAS
0,LONCOPUE
0,JUAN MARTIN DE PUEYRREDON
0,LAGO ARGENTINO
0,SAN JUSTO
0,ALBERDI
0,BELGRANO
0,TAFI DEL VALLE
0,CARLOS TEJEDOR
0,CASTELLI
0,GENERAL GUIDO
0,LA COSTA
0,LOBERIA
0,NAVARRO
0,TAPALQUE
0,TRENQUE LAUQUEN
0,PACLIN
0,TALA
0,LIHUEL CALEL
0,LA CANDELARIA
0,SANTA VICTORIA
0,AGUIRRE
0,BURRUYACU
0,GENERAL RODRIGUEZ
0,MAIPU
0,NECOCHEA
0,RIO SEGUNDO
0,TERCERO ARRIBA
0,SARMIENTO
0,HUMAHUACA
0,RANCUL
0,TOAY
0,ANGEL VICENTE PENALOZA
0,PICUN LEUFU
0,LAGO BUENOS AIRES
0,CHOYA
0,ROBLES
0,SIMOCA
0,AVELLANEDA
0,BERAZATEGUI
0,MERLO
0,MORENO
0,SAN MIGUEL
0,COMANDANTE FERNANDEZ
0,9 DE JULIO
0,COCHINOCA
0,SAN PEDRO
0,ZONDA
0,AVELLANEDA
0,LEALES
0,BRANDSEN
0,ENSENADA
0,MAGDALENA
0,MONTE
0,PELLEGRINI
0,SAN ROQUE
0,INDEPENDENCIA
0,MAYOR LUIS J. FONTANA
0,FELICIANO
0,LAISHI
0,TUMBAYA
0,CURACO
0,REALICO
0,GENERAL SAN MARTIN
0,ALUMINE
0,CASTELLANOS
0,IRIONDO
0,SAN CRISTOBAL
0,SAN MARTIN
0,COPO
0,SILIPICA
0,GENERAL BELGRANO
0,ANCASTI
0,GENERAL ROCA
0,TULUMBA
0,CAPITAL
0,GOYA
0,MONTE CASEROS
0,LIBERTAD
0,LOVENTUE
0,PICUNCHES
0,LOS ANDES
0,IGLESIA
0,FIGUEROA
0,TAFI VIEJO
0,DEPARTAMENTO_DESCONOCIDO
0,ARRECIFES
0,CAPITAN SARMIENTO
0,PUNTA INDIO
0,EL ALTO
0,EMPEDRADO
0,ITUZAINGO
0,12 DE OCTUBRE
0,O'HIGGINS
0,RAMON LISTA
0,DR. MANUEL BELGRANO
0,SUSQUES
0,LIMAY MAHUIDA
0,CASTRO BARROS
0,SAN BLAS DE LOS SAUCES
0,CANDELARIA
0,GUARANI
0,HUILICHES
0,MINAS
0,LA VINA
0,VALLE FERTIL
0,BELGRANO
0,CRUZ ALTA
0,BERISSO
0,CORONEL DE MARINA LEONARDO ROSALES
0,EZEIZA
0,FLORENTINO AMEGHINO
0,GENERAL LA MADRID
0,JOSE C. PAZ
0,PEHUAJO
0,TRES DE FEBRERO
0,ANDALGALA
0,FRAY MAMERTO ESQUIU
0,PRESIDENTE ROQUE SAENZ PENA
0,SOBREMONTE
0,GENERAL PAZ
0,ALMIRANTE BROWN
0,SARGENTO CABRAL
0,DIAMANTE
0,GUALEGUAYCHU
0,CHICAL CO
0,MARACO
0,GENERAL JUAN FACUNDO QUIROGA
0,CHOS MALAL
0,CAPITAL
0,LAS COLONIAS
0,ATAMISQUI
0,PELLEGRINI
0,FLORENCIO VARELA
0,PRESIDENTE PERON
0,CHACABUCO
0,GENERAL DONOVAN
0,FORMOSA
0,RINCONADA
0,VALLE GRANDE
0,CHAPALEUFU
0,ELDORADO
0,GENERAL PEDERNERA
0,CHASCOMUS/LEZAMA
0,MAR CHIQUITA
0,SUIPACHA
0,TRES LOMAS
0,VILLA GESELL
0,UNION
0,TAPENAGA
0,CATAN LIL
0,NORQUIN
0,LA POMA
0,JIMENEZ
0,MITRE
0,BALCARCE
0,GENERAL ARENALES
0,GENERAL VIAMONTE
0,SALADILLO
0,SAN VICENTE
0,TORNQUIST
0,BERON DE ASTRADA
0,MBURUCUYA
0,MERCEDES
0,LIBERTADOR GENERAL SAN MARTIN
0,PRESIDENCIA DE LA PLAZA
0,SAN ANTONIO
0,TILCARA
0,CONHELO
0,ZAPALA
0,GARAY
0,LORETO
0,RIVADAVIA
0,USHUAIA
0,BRAGADO
0,GENERAL LAVALLE
0,PINAMAR
0,QUILMES
0,ROJAS
0,TORDILLO
0,AMBATO
0,MAIPU
0,SAN FERNANDO
0,SANTA CATALINA
0,LEANDRO N. ALEM
0,RIVADAVIA
0,JACHAL
0,DEPARTAMENTO_DESCONOCIDO
0,GENERAL ALVEAR
0,RIVADAVIA
0,TIGRE
0,ANTOFAGASTA DE LA SIERRA
0,BELEN
0,RIO CUARTO
0,2 DE ABRIL
0,ISLAS DEL IBICUY
0,MATACOS
0,PATINO
0,ATREUCO
0,CHACABUCO
0,CORPEN AIKE
0,BANDA
0,GENERAL TABOADA
0,GUASAYAN
0,OJO DE AGUA
0,SARMIENTO
0,CARLOS CASARES
0,ESCOBAR
0,GENERAL JUAN MADARIAGA
0,GENERAL SAN MARTIN
0,LEANDRO N. ALEM
0,LOMAS DE ZAMORA
0,MONTE HERMOSO
0,ROQUE PEREZ
0,SALLIQUELO
0,VICENTE LOPEZ
0,LA PAZ
0,GENERAL BELGRANO
0,SANAGASTA
0,COLLON CURA
0,MOLINOS
0,CONSTITUCION
0,GENERAL LOPEZ
0,SAN MARTIN
0,CAPITAL
0,GOBERNADOR DUPUY
0,LA MATANZA
0,BERMEJO
0,LAPRIDA
0,CONCEPCION
0,RIVADAVIA
0,FRAY JUSTO SANTA MARIA DE ORO
0,AYACUCHO
0,COLON
0,GENERAL LAMADRID
0,HURLINGHAM
0,SALAVINA
0,VERA
0,ESQUINA
0,9 DE JULIO
0,QUITILIPI
0,PEHUENCHES
0,JUAN FELIPE IBARRA
0,GENERAL PINTO
0,SANTO TOME
0,RIO CHICO
0,SAUCE
0,PUELEN
0,25 DE MAYO
0,CAPAYAN
0,CATRILO
0,IRUYA
0,PUNILLA
0,SAN CAYETANO
0,GENERAL BELGRANO
0,SAN ANTONIO
0,ALMIRANTE BROWN
0,MINAS
0,SAN ALBERTO
