id_clase,descripcion
1,"Agricultura, ganadería, caza y servicios relacionados"
2,Silvicultura y explotación forestal
3,Pesca y acuicultura
5,Extracción de carbón y lignito
6,Extracción de petróleo crudo y gas natural
7,Extracción de minerales metálicos
8,Extracción de otros minerales
9,Actividades de apoyo al petróleo y la minería
10,Elaboración de productos alimenticios
11,Elaboración de bebidas
12,Elaboración de productos de tabaco
13,Elaboración de productos textiles
14,Elaboración de prendas de vestir
15,Elaboración de productos de cuero y calzado
16,Elaboración de productos de madera
17,Elaboración de productos de papel
18,Imprentas y editoriales
19,Fabricación de productos de refinación de petróleo
20,Fabricación de sustancias químicas
21,Elaboracion de productos farmacéuticos
22,Fabricación de productos de caucho y vidrio
23,Fabricación de productos de vidrio y otros minerales no metálicos
24,Fabricación de metales comunes
25,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo"
26,"Fabricación de productos de informática, de electrónica y de óptica"
27,Fabricación de equipo eléctrico
28,Fabricación de maquinarias
29,"Fabricación de vehículos automotores, remolques y semirremolques"
30,Fabricación de otros equipos de transporte
31,Fabricación de muebles
32,Otras industrias manufactureras
33,Reparación e instalación de maquinaria y equipo
35,"Suministro de electricidad, gas, vapor y aire acondicionado"
36,"Captación, tratamiento y distribución de agua"
37,Evacuación de aguas residuales
38,"Recogida, tratamiento y eliminación de desechos; recuperación de materiales"
39,Descontaminación y otros servicios
41,Construcción de edificios y partes
42,Obras de ingeniería civil
43,Actividades especializadas de construcción 
45,Comercio al por mayor y al por menor y reparación de vehículos automotores y motos
46,Comercio al por mayor excepto autos y motos
47,Comercio al por menor excepto autos y motos
49,Transporte terrestre y por tuberías
50,Transporte acuático
51,Transporte aéreo
52,Almacenamiento y actividades de apoyo al transporte
53,Servicio de correo y mensajería
55,Servicios de alojamiento
56,Servicios de expendio de alimentos y bebidas
58,Edición
59,Servicios audiovisuales
60,Programación y transmisiones de TV y radio
61,Telecomunicaciones
62,"Servicios de programación, consultoría informática y actividades conexas"
63,Actividades de procesamiento de información
64,Servicios financieros (excepto seguros y pensiones)
65,"Servicios de seguros, reaseguros y pensiones"
66,Servicios auxiliares de la actividad financiera y de seguros
68,Servicios inmobiliarios
69,Servicios jurídicos y de contabilidad
70,Servicios y asesoramiento de dirección y gestión empresarial
71,Servicios de arquitectura e ingeniería
72,Investigación y desarrollo científico
73,Servicios de publicidad e investigación de mercado
74,"Otras actividades profesionales, científicas y técnicas"
75,Servicios veterinarios
77,Alquiler y arrendamiento
78,Servicios de obtención y dotación de personal
79,"Agencias de viajes, servicios de reservas y actividades conexas"
80,Actividades de investigación y seguridad
81,Servicios a edificios y actividades de jardinería
82,Actividades administrativas y de apoyo a oficinas y empresas
84,"Administración pública, defensa y seguridad social"
85,Enseñanza
86,Servicios de salud humana
87,Actividades de atención en instituciones
88,Actividades de atención sin alojamiento
90,Servicios artísticos y de espectáculos
91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p."
92,Juegos de azar y apuestas
93,"Actividades deportivas, recreativas y de entretenimiento"
94,Servicios de asociaciones
95,Reparación de computadoras y equipos de uso doméstico
96,Otros servicios personales
999,Otros sectores
