id_operador,productos
1,SOJA
2,GIRASOL
2,MIJO
2,RESIDUO VEGETAL
3,INCULTO
4,SOJA
4,ALPISTE
5,SOJA
5,ALPISTE
5,TRIGO
6,CEREALES
7,CEREALES
8,INCULTO
9,GANADERIA BOVINA
10,ARANDANO
11,ARANDANO
11,FRAMBUESA
11,MORA
11,TOMATE
11,PIMIENTO
11,ZAPALLO
11,INCULTO
11,ARANDANO
11,FRAMBUESA
11,MORA
11,TOMATE
11,PIMIENTO
11,ZAPALLO
11,INCULTO
12,ARANDANO
12,DESCANSO
13,TRIGO
13,SOJA
14,LINO DORADO
14,SOJA
15,TRIGO
15,SOJA
16,TRIGO
16,SOJA
17,INCULTO
18,ARANDANO
18,NARANJA
19,VACAS
19,VAQUILLONAS
19,NOVILLOS
19,TOROS
19,TERNERAS
20,OLIVO
21,REPOLLO
21,ACELGA
21,BROCOLI
21,HINOJO
21,HABAS
21,ESPINACA
21,COLIFLOR
21,LECHUGA
21,CEBOLLA DE VERDEO
21,MANZANA
21,HIGOS
21,CIRUELA
21,PERA
21,DURAZNO
21,MANDARINA
21,POMELO
21,FORESTALES
22,ARANDANO
22,MORA
22,CIRUELA
22,DURAZNO
23,ARANDANOS
24,HORTALIZAS
25,HORTICULTURA: HORTALIZAS DE RAIZ
25,HOJA
25,FRUTOS
26,HUEVOS
27,AVENA
27,TRIGO
28,KIWI
29,CEREALES
30,CEREALES
31,INCULTO
32,CEREALES
33,CEREALES
34,MAIZ
34,SOJA
34,GIRASOL
34,LINO
34,TRIGO
35,MAIZ
35,LINO
35,TRIGO
35,GIRASOL
36,AVENA
36,ARVEJA
36,ABONO VERDE
36,TRIGO
36,SORGO
37,KIWIS
38,VACAS
38,TERNEROS
39,KIWI
39,LIMON
39,MORAS SILVESTRES
39,NOGALES
39,MANDARINA
39,HIGO
40,INCULTO
41,CEREALES
41,OLEAGINOSAS
42,LECHE
42,VACAS DE TAMBO
42,VAQUILLONAS
42,TOROS
42,TERNERAS
42,TERNEROS
43,AVENA
44,RUCULA
44,RABANITO
44,PUERROS
44,PIMIENTOS
44,BERENJENAS
44,CEBOLLA
44,PEREJIL
44,ACELGA
44,REMOLACHA
44,ZAPALLO
44,BATATA
44,HINOJO
44,ESCAROLA
44,REPOLLO
44,ZANAHORIA
44,CHAUCHA
44,ZAPALLITO
44,ZUCCHINI
44,TOMATE
44,LECHUGA
44,CIBOULETTE
44,FRUTILLA
44,ESPINACA
44,ARVEJA
44,HABAS
44,PAK CHOY
44,RADICHETA
44,APIO
44,JENJIBRE
44,MILENRAMA
44,CEDRON
44,SALVIA
44,MENTA
44,MELISA
44,TOMILLO
44,ROMERO
44,MOSTAZA
44,CURCUMA
44,AJENJO
44,KALE
44,LIMON
44,MANZANA
44,BROCOLI
44,AJO
44,ALCAUCIL
45,CEREALES
45,OLEAGINOSAS
46,CEREALES
46,OLEAGINOSAS
47,CEREALES
47,OLEAGINOSAS
48,INCULTO
49,GANADERIA BOVINA
50,CEREALES
51,AVENA
51,CEBADA
51,TRIGO
52,ZAPALLO RED HOKKAIDO
52,CEBOLLA
53,AVENA
53,TRIGO
54,AVENA
54,TRIGO
55,INCULTO
56,SOJA
57,GANADERIA BOVINA
58,TRIGO
59,TRIGO
60,MAIZ
60,CENTENO
60,DESCANSO
60,SOJA
60,ABONO VERDE
61,ESPINACA
61,REPOLLO
61,ACELGA
61,LECHUGA
61,RADICHETA
61,NABO
61,RUCULA
61,HINOJO
61,BROCOLI
61,ZANAHORIA
61,PUERRO
61,ESPARRAGOS
61,BERENJENA
61,TOMATE
61,AJI
61,PIMIENTO
61,FRUTILLA
61,BATATA
61,ZAPALLO
61,REMOLACHA
61,ALCAUCIL
61,APIO
61,RABANITO
61,CEBOLLA
61,ZUCCHINI
61,NARANJA
61,LIMON
61,MANDARINA
61,POMELO
61,HIGOS
61,CIRUELA
61,QUINOTO
61,NUEZ
61,ALMENDRAS
61,PALTA
