pais_id,pais,provincia_id,provincia,departamento,localidad,rubro,productos,categoria_id,categoria_desc,Certificadora_id,certificadora_deno,razón social,establecimiento
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,2,OIA S.A.,ADD CROPS S.A.,BARADERO 1
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,GIRASOL,1,Productores,2,OIA S.A.,ADD CROPS S.A.,BARADERO 2
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,MIJO,1,Productores,2,OIA S.A.,ADD CROPS S.A.,BARADERO 2
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,RESIDUO VEGETAL,1,Productores,2,OIA S.A.,ADD CROPS S.A.,BARADERO 2
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,MAIZ,1,Productores,2,OIA S.A.,ADD CROPS S.A.,EL BUEN RETIRO
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,AVENA,1,Productores,2,OIA S.A.,ADD CROPS S.A.,EL BUEN RETIRO
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,INCULTO,1,Productores,2,OIA S.A.,ADD CROPS S.A.,EL BUEN RETIRO
32,ARGENTINA,6,BUENOS AIRES,AZUL,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,3,Letis S.A.,AGRICOLA EL HORIZONTE S.A.,EL RELINCHO
32,ARGENTINA,6,BUENOS AIRES,AZUL,INDEFINIDA,AGRICULTURA,ALPISTE,1,Productores,3,Letis S.A.,AGRICOLA EL HORIZONTE S.A.,EL RELINCHO
32,ARGENTINA,6,BUENOS AIRES,AZUL,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,3,Letis S.A.,AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE
32,ARGENTINA,6,BUENOS AIRES,AZUL,INDEFINIDA,AGRICULTURA,ALPISTE,1,Productores,3,Letis S.A.,AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE
32,ARGENTINA,6,BUENOS AIRES,AZUL,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,3,Letis S.A.,AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,CEREALES,1,Productores,4,Food Safety S.A.,AGRO ROSSI S.H.,DON GISLENO
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,CEREALES,1,Productores,4,Food Safety S.A.,AGRO ROSSI S.H.,ONELIA
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,FRUTICULTURA,NUEZ PECAN,1,Productores,2,OIA S.A.,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,HORTICULTURA,NUEZ PECAN,1,Productores,2,OIA S.A.,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,AGRICULTURA,INCULTO,1,Productores,2,OIA S.A.,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,FRUTICULTURA,INCULTO,1,Productores,2,OIA S.A.,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
32,ARGENTINA,6,BUENOS AIRES,BARADERO,INDEFINIDA,HORTICULTURA,INCULTO,1,Productores,2,OIA S.A.,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
32,ARGENTINA,6,BUENOS AIRES,VILLARINO,INDEFINIDA,GANADERIA,GANADERIA BOVINA,1,Productores,1,Argencert S.R.L.,ANIJG AGENCY S.A.,EL FORTIN
32,ARGENTINA,6,BUENOS AIRES,MERCEDES,INDEFINIDA,FRUTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,ARBE JUAN LUCAS ,NATURAL PAMPA
32,ARGENTINA,6,BUENOS AIRES,MERCEDES,INDEFINIDA,HORTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,ARBE JUAN LUCAS ,NATURAL PAMPA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,FRUTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,HORTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,FRUTICULTURA,FRAMBUESA,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,HORTICULTURA,FRAMBUESA,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,FRUTICULTURA,MORA,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,HORTICULTURA,MORA,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,FRUTICULTURA,TOMATE,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,HORTICULTURA,TOMATE,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,FRUTICULTURA,PIMIENTO,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
